index,build,test_index,numRounds,file_size,key_size,threads,debits,LATENCY,REQ,TRANSFER,run_index
320,local,106,10,256,256,2,400,0.00857,213.63,161884.16,1
321,local,106,10,256,256,2,400,0.01952,212.8,161884.16,2
322,local,107,100,256,256,2,400,0.01939,204.92,161873.92,0
323,local,107,100,256,256,2,400,0.020370000000000003,205.2,161853.44,1
324,local,107,100,256,256,2,400,0.02022,205.52,161873.92,2
325,local,108,1,32,32,4,400,0.00786,105.34,65576.96,0
326,local,108,1,32,32,4,400,0.00855,105.4,65576.96,1
327,local,108,1,32,32,4,400,0.008289999999999999,105.63,65576.96,2
328,local,109,10,32,32,4,400,0.016280000000000003,105.59,65576.96,0
329,local,109,10,32,32,4,400,0.00851,104.94,65576.96,1
330,local,109,10,32,32,4,400,0.00828,105.51,65576.96,2
331,local,110,100,32,32,4,400,0.00826,105.89,65576.96,0
332,local,110,100,32,32,4,400,0.00868,105.32,65034.24,1
333,local,110,100,32,32,4,400,0.00859,105.58,65576.96,2
334,local,111,1,128,32,4,400,0.00825,105.51,99553.28,0
335,local,111,1,128,32,4,400,0.008119999999999999,105.55,99563.52,1
336,local,111,1,128,32,4,400,0.00859,105.65,99563.52,2
337,local,112,10,128,32,4,400,0.00841,105.47,99563.52,0
338,local,112,10,128,32,4,400,0.01702,105.62,99563.52,1
339,local,112,10,128,32,4,400,0.00825,105.58,99553.28,2
340,local,113,100,128,32,4,400,0.014070000000000001,105.51,99563.52,0
341,local,113,100,128,32,4,400,0.0050999999999999995,105.33,99563.52,1
342,local,113,100,128,32,4,400,0.00878,105.24,99563.52,2
343,local,114,1,256,32,4,400,0.00796,105.48,161935.36,0
344,local,114,1,256,32,4,400,0.008369999999999999,105.46,161935.36,1
345,local,114,1,256,32,4,400,0.02576,105.65,161904.64,2
346,local,115,10,256,32,4,400,0.00873,105.53,160583.68,0
347,local,115,10,256,32,4,400,0.008,105.23,161935.36,1
348,local,115,10,256,32,4,400,0.00861,105.36,161925.12,2
349,local,116,100,256,32,4,400,0.009300000000000001,105.08,161925.12,0
350,local,116,100,256,32,4,400,0.01,105.11,161925.12,1
351,local,116,100,256,32,4,400,0.01045,105.07,161935.36,2
352,local,117,1,32,128,4,400,0.00779,105.31,65576.96,0
353,local,117,1,32,128,4,400,0.0037400000000000003,105.32,65576.96,1
354,local,117,1,32,128,4,400,0.00845,105.42,65576.96,2
355,local,118,10,32,128,4,400,0.00754,105.23,65576.96,0
356,local,118,10,32,128,4,400,0.00821,105.38,65576.96,1
357,local,118,10,32,128,4,400,0.00497,105.53,65576.96,2
358,local,119,100,32,128,4,400,0.00733,105.17,65576.96,0
359,local,119,100,32,128,4,400,0.0042699999999999995,105.44,65576.96,1
360,local,119,100,32,128,4,400,0.026449999999999998,105.14,65556.48,2
361,local,120,1,128,128,4,400,0.00881,105.03,99553.28,0
362,local,120,1,128,128,4,400,0.0086,105.22,99563.52,1
363,local,120,1,128,128,4,400,0.01196,105.52,99563.52,2
