index,build,test_index,numRounds,file_size,key_size,threads,debits,LATENCY,REQ,run_index
382,local,127,10,32,32,6,100,0.000228,16.41,1
383,local,127,10,32,32,6,100,0.000623,16.47,2
384,local,128,100,32,32,6,100,0.00163,16.64,0
385,local,128,100,32,32,6,100,0.00106,16.48,1
386,local,128,100,32,32,6,100,0.00075,16.66,2
387,local,129,1,64,32,6,100,0.000501,16.51,0
388,local,129,1,64,32,6,100,0.000526,16.5,1
389,local,129,1,64,32,6,100,0.000813,16.48,2
390,local,130,10,64,32,6,100,0.00127,16.58,0
391,local,130,10,64,32,6,100,0.00116,16.48,1
392,local,130,10,64,32,6,100,0.000743,16.6,2
393,local,131,100,64,32,6,100,0.0025499999999999997,16.58,0
394,local,131,100,64,32,6,100,0.00252,16.82,1
395,local,131,100,64,32,6,100,0.00189,16.52,2
396,local,132,1,8,64,6,100,0.00186,16.47,0
397,local,132,1,8,64,6,100,0.00103,16.54,1
398,local,132,1,8,64,6,100,0.000737,16.29,2
399,local,133,10,8,64,6,100,0.000709,16.51,0
400,local,133,10,8,64,6,100,0.000227,16.27,1
401,local,133,10,8,64,6,100,0.000318,16.49,2
402,local,134,100,8,64,6,100,0.000437,16.37,0
403,local,134,100,8,64,6,100,0.00184,16.62,1
404,local,134,100,8,64,6,100,0.000249,16.41,2
405,local,135,1,16,64,6,100,0.0010500000000000002,16.44,0
406,local,135,1,16,64,6,100,0.0010400000000000001,16.48,1
407,local,135,1,16,64,6,100,0.000345,16.4,2
408,local,136,10,16,64,6,100,0.000393,16.54,0
409,local,136,10,16,64,6,100,0.000563,16.44,1
410,local,136,10,16,64,6,100,0.000221,16.31,2
411,local,137,100,16,64,6,100,0.0011899999999999999,16.62,0
412,local,137,100,16,64,6,100,0.0014399999999999999,16.56,1
413,local,137,100,16,64,6,100,0.00228,16.62,2
414,local,138,1,32,64,6,100,0.000467,16.44,0
415,local,138,1,32,64,6,100,0.000698,16.48,1
416,local,138,1,32,64,6,100,0.000506,16.37,2
417,local,139,10,32,64,6,100,0.00077,16.58,0
418,local,139,10,32,64,6,100,0.000475,16.43,1
419,local,139,10,32,64,6,100,0.000469,16.52,2
420,local,140,100,32,64,6,100,0.0011200000000000001,16.49,0
421,local,140,100,32,64,6,100,0.00088,16.61,1
422,local,140,100,32,64,6,100,0.00126,16.56,2
423,local,141,1,64,64,6,100,0.000558,16.55,0
424,local,141,1,64,64,6,100,0.00102,16.59,1
425,local,141,1,64,64,6,100,0.000665,16.35,2
426,local,142,10,64,64,6,100,0.00077,16.44,0
427,local,142,10,64,64,6,100,0.00098,16.57,1
428,local,142,10,64,64,6,100,0.000256,16.39,2
429,local,143,100,64,64,6,100,0.00265,16.87,0
430,local,143,100,64,64,6,100,0.00252,16.61,1
431,local,143,100,64,64,6,100,0.0024500000000000004,16.57,2
